2643,2
30ce,83,6d
30cf,83,6e
30d0,83,6f
30d1,83,70
30d2,83,71
30d3,83,72
30d4,83,73
30d5,83,74
30d6,83,75
30d7,83,76
30d8,83,77
30d9,83,78
30da,83,79
30db,83,7a
30dc,83,7b
30dd,83,7c
30de,83,7d
30df,83,7e
30e0,83,80
30e1,83,81
30e2,83,82
30e3,83,83
30e4,83,84
30e5,83,85
30e6,83,86
30e7,83,87
30e8,83,88
30e9,83,89
30ea,83,8a
30eb,83,8b
30ec,83,8c
30ed,83,8d
30ee,83,8e
30ef,83,8f
30f0,83,90
30f1,83,91
30f2,83,92
30f3,83,93
30f4,83,94
30f5,83,95
30f6,83,96
30fb,81,45
30fc,81,5b
30fd,81,52
30fe,81,53
3231,87,8a
3231,fa,58
3232,87,8b
3239,87,8c
32a4,87,85
32a5,87,86
32a6,87,87
32a7,87,88
32a8,87,89
3303,87,65
330d,87,69
3314,87,60
3318,87,63
3322,87,61
3323,87,6b
3326,87,6a
3327,87,64
332b,87,6c
3336,87,66
333b,87,6e
3349,87,5f
334a,87,6d
334d,87,62
3351,87,67
3357,87,68
337b,87,7e
337c,87,8f
337d,87,8e
337e,87,8d
338e,87,72
338f,87,73
339c,87,6f
339d,87,70
339e,87,71
33a1,87,75
33c4,87,74
33cd,87,83
4e00,88,ea
4e01,92,9a
4e03,8e,b5
4e07,96,9c
4e08,8f,e4
4e09,8e,4f
4e0a,8f,e3
4e0b,89,ba
4e0d,95,73
4e0e,97,5e
4e10,98,a0
4e11,89,4e
4e14,8a,8e
4e15,98,a1
4e16,90,a2
4e17,99,c0
4e18,8b,75
4e19,95,b8
4e1e,8f,e5
4e21,97,bc
4e26,95,c0
4e28,ed,4c
4e28,fa,68
4e2a,98,a2
4e2d,92,86
4e31,98,a3
4e32,8b,f8
4e36,98,a4
4e38,8a,db
4e39,92,4f
4e3b,8e,e5
4e3c,98,a5
4e3f,98,a6
4e42,98,a7
4e43,94,54
4e45,8b,76
4e4b,94,56
4e4d,93,e1
4e4e,8c,c1
4e4f,96,52
4e55,e5,68
4e56,98,a8
4e57,8f,e6
4e58,98,a9
4e59,89,b3
4e5d,8b,e3
4e5e,8c,ee
4e5f,96,e7
4e62,9b,a4
4e71,97,90
4e73,93,fb
4e7e,8a,a3
4e80,8b,54
4e82,98,aa
4e85,98,ab
4e86,97,b9
4e88,97,5c
4e89,91,88
4e8a,98,ad
4e8b,8e,96
4e8c,93,f1
4e8e,98,b0
4e91,89,5d
4e92,8c,dd
4e94,8c,dc
4e95,88,e4
4e98,98,6a
4e99,98,69
4e9b,8d,b1
4e9c,88,9f
4e9e,98,b1
4e9f,98,b2
4ea0,98,b3
4ea1,96,53
4ea2,98,b4
4ea4,8c,f0
4ea5,88,e5
4ea6,96,92
4ea8,8b,9c
4eab,8b,9d
4eac,8b,9e
4ead,92,e0
4eae,97,ba
4eb0,98,b5
4eb3,98,b6
4eb6,98,b7
4eba,90,6c
4ec0,8f,59
4ec1,90,6d
4ec2,98,bc
4ec4,98,ba
4ec6,98,bb
4ec7,8b,77
4eca,8d,a1
4ecb,89,ee
4ecd,98,b9
4ece,98,b8
4ecf,95,a7
4ed4,8e,65
4ed5,8e,64
4ed6,91,bc
4ed7,98,bd
4ed8,95,74
4ed9,90,e5
4edd,81,57
4ede,98,be
4edf,98,c0
4ee1,ed,4d
4ee1,fa,69
4ee3,91,e3
4ee4,97,df
4ee5,88,c8
4eed,98,bf
4eee,89,bc
4ef0,8b,c2
4ef2,92,87
4ef6,8c,8f
4ef7,98,c1
4efb,94,43
4efc,ed,4e
4efc,fa,6a
4f00,ed,4f
4f00,fa,6b
4f01,8a,e9
4f03,ed,50
4f03,fa,6c
4f09,98,c2
4f0a,88,c9
4f0d,8c,de
4f0e,8a,ea
4f0f,95,9a
4f10,94,b0
4f11,8b,78
4f1a,89,ef
4f1c,98,e5
4f1d,93,60
4f2f,94,8c
4f30,98,c4
4f34,94,ba
4f36,97,e0
4f38,90,4c
4f39,ed,51
4f39,fa,6d
4f3a,8e,66
4f3c,8e,97
4f3d,89,be
4f43,92,cf
4f46,92,41
4f47,98,c8
4f4d,88,ca
4f4e,92,e1
4f4f,8f,5a
4f50,8d,b2
4f51,97,43
4f53,91,cc
4f55,89,bd
4f56,ed,52
4f56,fa,6e
4f57,98,c7
4f59,97,5d
4f5a,98,c3
4f5b,98,c5
4f5c,8d,ec
4f5d,98,c6
4f5e,9b,43
4f69,98,ce
4f6f,98,d1
4f70,98,cf
4f73,89,c0
4f75,95,b9
4f76,98,c9
4f7b,98,cd
4f7c,8c,f1
4f7f,8e,67
4f83,8a,a4
4f86,98,d2
4f88,98,ca
4f8a,ed,54
4f8a,fa,70
4f8b,97,e1
4f8d,8e,98
4f8f,98,cb
4f91,98,d0
4f92,ed,53
4f92,fa,6f
4f94,ed,56
4f94,fa,72
4f96,98,d3
4f98,98,cc
4f9a,ed,55
4f9a,fa,71
4f9b,8b,9f
4f9d,88,cb
4fa0,8b,a0
4fa1,89,bf
4fab,9b,44
4fad,96,99
4fae,95,8e
4faf,8c,f2
4fb5,90,4e
4fb6,97,b5
4fbf,95,d6
4fc2,8c,57
4fc3,91,a3
4fc4,89,e2
4fc9,ed,45
4fc9,fa,61
4fca,8f,72
4fcd,ed,57
4fcd,fa,73
4fce,98,d7
4fd0,98,dc
4fd1,98,da
4fd4,98,d5
4fd7,91,ad
4fd8,98,d8
4fda,98,db
4fdb,98,d9
4fdd,95,db
4fdf,98,d6
4fe1,90,4d
4fe3,96,93
4fe4,98,dd
4fe5,98,de
4fee,8f,43
4fef,98,eb
4ff3,94,6f
4ff5,95,55
4ff6,98,e6
4ff8,95,ee
4ffa,89,b4
4ffe,98,ea
4fff,ed,5a
4fff,fa,76
5005,98,e4
5006,98,ed
5009,91,71
500b,8c,c2
500d,94,7b
500f,e0,c5
5011,98,ec
5012,93,7c
5014,98,e1
5016,8c,f4
5019,8c,f3
501a,98,df
501e,ed,5b
501e,fa,77
501f,8e,d8
5021,98,e7
5022,ed,59
5022,fa,75
5023,95,ed
5024,92,6c
5025,98,e3
5026,8c,91
5028,98,e0
5029,98,e8
502a,98,e2
502b,97,cf
502c,98,e9
502d,98,60
5036,8b,e4
5039,8c,90
5040,ed,58
5040,fa,74
5042,ed,5e
5042,fa,7a
5043,98,ee
5046,ed,5c
5046,fa,78
5047,98,ef
5048,98,f3
5049,88,cc
504f,95,ce
5050,98,f2
5055,98,f1
5056,98,f5
505a,98,f4
505c,92,e2
5065,8c,92
506c,98,f6
5070,ed,5d
5070,fa,79
5072,8e,c3
5074,91,a4
5075,92,e3
5076,8b,f4
5078,98,f7
507d,8b,55
5080,98,f8
5085,98,fa
508d,96,54
5091,8c,86
5094,ed,5f
5094,fa,7b
5098,8e,50
5099,94,f5
509a,98,f9
50ac,8d,c3
50ad,97,62
50b2,98,fc
50b3,99,42
50b4,98,fb
50b5,8d,c2
50b7,8f,9d
50be,8c,58
50c2,99,43
50c5,8b,cd
50c9,99,40
50ca,99,41
50cd,93,ad
50cf,91,9c
50d1,8b,a1
50d5,96,6c
50d6,99,44
50d8,ed,61
50d8,fa,7d
50da,97,bb
50de,99,45
50e3,99,48
50e5,99,46
50e7,91,6d
50ed,99,47
50ee,99,49
50f4,ed,60
50f4,fa,7c
50f5,99,4b
50f9,99,4a
50fb,95,c6
5100,8b,56
5101,99,4d
5102,99,4e
5104,89,ad
5109,99,4c
5112,8e,f2
5114,99,51
5115,99,50
5116,99,4f
5118,98,d4
511a,99,52
511f,8f,9e
5121,99,53
512a,97,44
5132,96,d7
5137,99,55
513a,99,54
513b,99,57
513c,99,56
513f,99,58
5140,99,59
5141,88,f2
5143,8c,b3
5144,8c,5a
5145,8f,5b
5146,92,9b
5147,8b,a2
5148,90,e6
5149,8c,f5
514a,ed,62
514a,fa,7e
514b,8d,8e
514c,99,5b
514d,96,c6
514e,93,65
5150,8e,99
5152,99,5a
5154,99,5c
515a,93,7d
515c,8a,95
5162,99,5d
5164,ed,63
5164,fa,80
5165,93,fc
5168,91,53
5169,99,5f
516a,99,60
516b,94,aa
516c,8c,f6
516d,98,5a
516e,99,61
5171,8b,a4
5175,95,ba
5176,91,b4
5177,8b,ef
5178,93,54
517c,8c,93
5180,99,62
5182,99,63
5185,93,e0
5186,89,7e
5189,99,66
518a,8d,fb
518c,99,65
518d,8d,c4
518f,99,67
5190,e3,ec
5191,99,68
5192,96,60
5193,99,69
5195,99,6a
5196,99,6b
5197,8f,e7
5199,8e,ca
519d,ed,64
519d,fa,81
51a0,8a,a5
51a2,99,6e
51a4,99,6c
51a5,96,bb
51a6,99,6d
51a8,95,79
51a9,99,6f
51aa,99,70
51ab,99,71
51ac,93,7e
51b0,99,75
51b1,99,73
51b2,99,74
51b3,99,72
51b4,8d,e1
51b5,99,76
51b6,96,e8
51b7,97,e2
51bd,99,77
51be,ed,65
51be,fa,82
51c4,90,a6
51c5,99,78
51c6,8f,79
51c9,99,79
51cb,92,9c
51cc,97,bd
51cd,93,80
51d6,99,c3
51db,99,7a
51dc,ea,a3
51dd,8b,c3
51e0,99,7b
51e1,96,7d
51e6,8f,88
51e7,91,fa
51e9,99,7d
51ea,93,e2
51ec,ed,66
51ec,fa,83
51ed,99,7e
51f0,99,80
51f1,8a,4d
51f5,99,81
51f6,8b,a5
51f8,93,ca
51f9,89,9a
51fa,8f,6f
51fd,94,9f
51fe,99,82
5200,93,81
5203,90,6e
5204,99,83
5206,95,aa
5207,90,d8
5208,8a,a0
520a,8a,a7
520b,99,84
520e,99,86
5211,8c,59
5214,99,85
5215,ed,67
5215,fa,84
5217,97,f1
521d,8f,89
5224,94,bb
5225,95,ca
5227,99,87
5229,97,98
522a,99,88
522e,99,89
5230,93,9e
5233,99,8a
5236,90,a7
5237,8d,fc
5238,8c,94
5239,99,8b
523a,8e,68
523b,8d,8f
5243,92,e4
5244,99,8d
5247,91,a5
524a,8d,ed
524b,99,8e
524c,99,8f
524d,91,4f
524f,99,8c
5254,99,91
5256,96,55
525b,8d,84
525e,99,90
5263,8c,95
5264,8d,dc
5265,94,8d
5269,99,94
526a,99,92
526f,95,9b
5270,8f,e8
5271,99,9b
5272,8a,84
5273,99,95
5274,99,93
5275,91,6e
527d,99,97
527f,99,96
5283,8a,63
5287,8c,80
5288,99,9c
5289,97,ab
528d,99,98
5291,99,9d
5292,99,9a
5294,99,99
529b,97,cd
529c,ed,68
529c,fa,85
529f,8c,f7
52a0,89,c1
52a3,97,f2
52a6,ed,69
52a6,fa,86
52a9,8f,95
52aa,93,77
52ab,8d,85
52ac,99,a0
52ad,99,a1
52af,ee,5b
52af,fb,77
52b1,97,e3
52b4,98,4a
52b5,99,a3
52b9,8c,f8
52bc,99,a2
52be,8a,4e
52c0,ed,6a
52c0,fa,87
52c1,99,a4
52c3,96,75
52c5,92,ba
52c7,97,45
52c9,95,d7
52cd,99,a5
52d2,e8,d3
52d5,93,ae
52d7,99,a6
52d8,8a,a8
52d9,96,b1
52db,ed,6b
52db,fa,88
52dd,8f,9f
52de,99,a7
52df,95,e5
52e0,99,ab
52e2,90,a8
52e3,99,a8
52e4,8b,ce
52e6,99,a9
52e7,8a,a9
52f2,8c,4d
52f3,99,ac
52f5,99,ad
52f8,99,ae
52f9,99,af
52fa,8e,d9
52fe,8c,f9
52ff,96,dc
5300,ed,6c
5300,fa,89
5301,96,e6
5302,93,f5
5305,95,ef
5306,99,b0
5307,ed,6d
5307,fa,8a
5308,99,b1
530d,99,b3
530f,99,b5
5310,99,b4
5315,99,b6
5316,89,bb
5317,96,6b
5319,8d,fa
531a,99,b7
531d,91,78
5320,8f,a0
5321,8b,a7
5323,99,b8
5324,ed,6e
5324,fa,8b
532a,94,d9
532f,99,b9
5331,99,ba
5333,99,bb
5338,99,bc
5339,95,43
533a,8b,e6
533b,88,e3
533f,93,bd
5340,99,bd
5341,8f,5c
5343,90,e7
5345,99,bf
5346,99,be
5347,8f,a1
5348,8c,df
5349,99,c1
534a,94,bc
534d,99,c2
5351,94,da
5352,91,b2
5353,91,ec
5354,8b,a6
5357,93,ec
5358,92,50
535a,94,8e
535c,96,6d
535e,99,c4
5360,90,e8
5366,8c,54
5369,99,c5
536e,99,c6
536f,89,4b
5370,88,f3
5371,8a,eb
5372,ed,6f
5372,fa,8c
5373,91,a6
5374,8b,70
5375,97,91
5377,99,c9
5378,89,b5
537b,99,c8
537f,8b,a8
5382,99,ca
5384,96,ef
5393,ed,70
5393,fa,8d
5396,99,cb
5398,97,d0
539a,8c,fa
539f,8c,b4
53a0,99,cc
53a5,99,ce
53a6,99,cd
53a8,90,7e
53a9,89,58
53ad,89,7d
53ae,99,cf
53b0,99,d0
53b2,ed,71
53b2,fa,8e
53b3,8c,b5
53b6,99,d1
53bb,8b,8e
53c2,8e,51
53c3,99,d2
53c8,96,94
53c9,8d,b3
53ca,8b,79
53cb,97,46
53cc,91,6f
53cd,94,bd
53ce,8e,fb
53d4,8f,66
53d6,8e,e6
53d7,8e,f3
53d9,8f,96
53db,94,be
53dd,ed,72
53dd,fa,8f
53df,99,d5
53e1,89,62
53e2,91,70
53e3,8c,fb
53e4,8c,c3
53e5,8b,e5
53e8,99,d9
53e9,92,40
53ea,91,fc
53eb,8b,a9
53ec,8f,a2
53ed,99,da
53ee,99,d8
53ef,89,c2
53f0,91,e4
53f1,8e,b6
53f2,8e,6a
53f3,89,45
53f6,8a,90
53f7,8d,86
53f8,8e,69
53fa,99,db
5401,99,dc
5403,8b,68
5404,8a,65
5408,8d,87
5409,8b,67
540a,92,dd
540b,89,44
540c,93,af
540d,96,bc
540e,8d,40
540f,97,99
5410,93,66
5411,8c,fc
541b,8c,4e
541d,99,e5
541f,8b,e1
5420,96,69
5426,94,db
5429,99,e4
542b,8a,dc
542c,99,df
542d,99,e0
542e,99,e2
5436,99,e3
5438,8b,7a
5439,90,81
543b,95,ab
543c,99,e1
543d,99,dd
543e,8c,e1
5440,99,de
5442,98,43
5446,95,f0
5448,92,e6
5449,8c,e0
544a,8d,90
544e,99,e6
5451,93,db
545f,99,ea
5468,8e,fc
546a,8e,f4
5470,99,ed
5471,99,eb
5473,96,a1
5475,99,e8
5476,99,f1
5477,99,ec
547b,99,ef
547c,8c,c4
547d,96,bd
5480,99,f0
5484,99,f2
5486,99,f4
548a,ed,75
548a,fa,92
548b,8d,ee
548c,98,61
548e,99,e9
548f,99,e7
5490,99,f3
5492,99,ee
549c,ed,74
549c,fa,91
54a2,99,f6
54a4,9a,42
54a5,99,f8
54a8,99,fc
54a9,ed,76
54a9,fa,93
54ab,9a,40
54ac,99,f9
54af,9a,5d
54b2,8d,e7
54b3,8a,50
54b8,99,f7
54bc,9a,44
54bd,88,f4
54be,9a,43
54c0,88,a3
54c1,95,69
54c2,9a,41
54c4,99,fa
54c7,99,f5
54c8,99,fb
54c9,8d,c6
54d8,9a,45
54e1,88,f5
54e2,9a,4e
54e5,9a,46
54e6,9a,47
54e8,8f,a3
54e9,96,89
54ed,9a,4c
54ee,9a,4b
54f2,93,4e
54fa,9a,4d
54fd,9a,4a
54ff,ed,77
54ff,fa,94
5504,89,53
5506,8d,b4
5507,90,4f
550f,9a,48
5510,93,82
5514,9a,49
5516,88,a0
552e,9a,53
552f,97,42
5531,8f,a5
5533,9a,59
5538,9a,58
5539,9a,4f
553e,91,c1
5540,9a,50
5544,91,ed
5545,9a,55
5546,8f,a4
554c,9a,52
554f,96,e2
5553,8c,5b
5556,9a,56
5557,9a,57
555c,9a,54
555d,9a,5a
5563,9a,51
557b,9a,60
557c,9a,65
557e,9a,61
5580,9a,5c
5583,9a,66
5584,91,50
5586,ed,78
5586,fa,95
5587,9a,68
5589,8d,41
558a,9a,5e
558b,92,9d
5598,9a,62
5599,9a,5b
559a,8a,ab
559c,8a,ec
559d,8a,85
559e,9a,63
559f,9a,5f
55a7,8c,96
55a8,9a,69
55a9,9a,67
55aa,91,72
55ab,8b,69
55ac,8b,aa
55ae,9a,64
55b0,8b,f2
55b6,89,63
55c4,9a,6d
55c5,9a,6b
55c7,9a,a5
55d4,9a,70
55da,9a,6a
55dc,9a,6e
55df,9a,6c
55e3,8e,6b
55e4,9a,6f
55f7,9a,72
55f9,9a,77
55fd,9a,75
55fe,9a,74
5606,92,51
5609,89,c3
5614,9a,71
5616,9a,73
5617,8f,a6
5618,89,52
561b,9a,76
5629,89,dc
562f,9a,82
5631,8f,fa
5632,9a,7d
5634,9a,7b
5636,9a,7c
5638,9a,7e
5642,89,5c
564c,91,58
564e,9a,78
5650,9a,79
565b,8a,9a
5664,9a,81
5668,8a,ed
566a,9a,84
566b,9a,80
566c,9a,83
5674,95,ac
5678,93,d3
567a,94,b6
5680,9a,86
5686,9a,85
5687,8a,64
568a,9a,87
568f,9a,8a
5694,9a,89
56a0,9a,88
56a2,94,58
56a5,9a,8b
56ae,9a,8c
56b4,9a,8e
56b6,9a,8d
56bc,9a,90
56c0,9a,93
56c1,9a,91
56c2,9a,8f
56c3,9a,92
56c8,9a,94
56ce,9a,95
56d1,9a,96
56d3,9a,97
56d7,9a,98
56d8,99,64
56da,8e,fa
56db,8e,6c
56de,89,f1
56e0,88,f6
56e3,92,63
56ee,9a,99
56f0,8d,a2
56f2,88,cd
56f3,90,7d
56f9,9a,9a
56fa,8c,c5
56fd,8d,91
56ff,9a,9c
5700,9a,9b
5703,95,de
5704,9a,9d
5708,9a,9f
5709,9a,9e
570b,9a,a0
570d,9a,a1
570f,8c,97
5712,89,80
5713,9a,a2
5716,9a,a4
5718,9a,a3
571c,9a,a6
571f,93,79
5726,9a,a7
5727,88,b3
5728,8d,dd
572d,8c,5c
5730,92,6e
5737,9a,a8
5738,9a,a9
573b,9a,ab
5740,9a,ac
5742,8d,e2
5747,8b,cf
574a,96,56
574e,9a,aa
574f,9a,ad
5750,8d,bf
5751,8d,42
5759,ed,79
5759,fa,96
5761,9a,b1
5764,8d,a3
5765,ed,7a
5765,fa,97
5766,92,52
5769,9a,ae
576a,92,d8
577f,9a,b2
5782,90,82
5788,9a,b0
5789,9a,b3
578b,8c,5e
5793,9a,b4
57a0,9a,b5
57a2,8d,43
57a3,8a,5f
57a4,9a,b7
57aa,9a,b8
57ac,ed,7b
57ac,fa,98
57b0,9a,b9
57b3,9a,b6
57c0,9a,af
57c3,9a,ba
57c6,9a,bb
57c7,ed,7d
57c7,fa,9a
57c8,ed,7c
57c8,fa,99
57cb,96,84
57ce,8f,e9
57d2,9a,bd
57d3,9a,be
57d4,9a,bc
57d6,9a,c0
57dc,94,57
57df,88,e6
57e0,95,75
57e3,9a,c1
57f4,8f,fb
57f7,8e,b7
57f9,94,7c
57fa,8a,ee
57fc,8d,e9
5800,96,78
5802,93,b0
5805,8c,98
5806,91,cd
580a,9a,bf
580b,9a,c2
5815,91,c2
5819,9a,c3
581d,9a,c4
5821,9a,c6
5824,92,e7
582a,8a,ac
582f,ea,9f
5830,89,81
5831,95,f1
